"","ID","N","distribution","mean","sd","df"
"370",370,30,"Normal",0,1.4142135623731,NA
"371",371,30,"Normal",0,1.4142135623731,NA
"372",372,30,"Normal",0,1.4142135623731,NA
"373",373,30,"T",0,1.4142135623731,4
"374",374,30,"Exponential",1.4142135623731,1.4142135623731,NA
"375",375,30,"Log-Normal",2.71828182845905,1.4142135623731,NA
"376",376,30,"Chi-Squared",4,2.82842712474619,4
"377",377,30,"Normal",0,1.29099444873581,NA
"378",378,30,"Normal",0,1.29099444873581,NA
"379",379,30,"Normal",0,1.29099444873581,NA
"380",380,30,"Normal",0,1.29099444873581,NA
"381",381,30,"T",0,1.29099444873581,5
"382",382,30,"Exponential",1.29099444873581,1.29099444873581,NA
"383",383,30,"Log-Normal",2.30097589089283,1.29099444873581,NA
"384",384,30,"Chi-Squared",5,3.16227766016838,5
"385",385,30,"Normal",0,1.22474487139159,NA
"386",386,30,"Normal",0,1.22474487139159,NA
"387",387,30,"Normal",0,1.22474487139159,NA
"388",388,30,"Normal",0,1.22474487139159,NA
"389",389,30,"T",0,1.22474487139159,6
"390",390,30,"Exponential",1.22474487139159,1.22474487139159,NA
"391",391,30,"Log-Normal",2.11700001661267,1.22474487139159,NA
"392",392,30,"Chi-Squared",6,3.46410161513775,6
"393",393,30,"Normal",0,1.18321595661992,NA
"394",394,30,"Normal",0,1.18321595661992,NA
"395",395,30,"Normal",0,1.18321595661992,NA
"396",396,30,"Normal",0,1.18321595661992,NA
"397",397,30,"T",0,1.18321595661992,7
"398",398,30,"Exponential",1.18321595661992,1.18321595661992,NA
"399",399,30,"Log-Normal",2.01375270747048,1.18321595661992,NA
"400",400,30,"Chi-Squared",7,3.74165738677394,7
"401",401,40,"Normal",0,1.73205080756888,NA
"402",402,40,"Normal",0,1.73205080756888,NA
"403",403,40,"Normal",0,1.73205080756888,NA
"404",404,40,"Normal",0,1.73205080756888,NA
"405",405,40,"T",0,1.73205080756888,3
"406",406,40,"Exponential",1.73205080756888,1.73205080756888,NA
"407",407,40,"Log-Normal",4.48168907033806,1.73205080756888,NA
"408",408,40,"Chi-Squared",3,2.44948974278318,3
"409",409,40,"Normal",0,1.4142135623731,NA
"410",410,40,"Normal",0,1.4142135623731,NA
"411",411,40,"Normal",0,1.4142135623731,NA
"412",412,40,"Normal",0,1.4142135623731,NA
"413",413,40,"T",0,1.4142135623731,4
"414",414,40,"Exponential",1.4142135623731,1.4142135623731,NA
"415",415,40,"Log-Normal",2.71828182845905,1.4142135623731,NA
"416",416,40,"Chi-Squared",4,2.82842712474619,4
"417",417,40,"Normal",0,1.29099444873581,NA
"418",418,40,"Normal",0,1.29099444873581,NA
"419",419,40,"Normal",0,1.29099444873581,NA
"420",420,40,"Normal",0,1.29099444873581,NA
"421",421,40,"T",0,1.29099444873581,5
"422",422,40,"Exponential",1.29099444873581,1.29099444873581,NA
"423",423,40,"Log-Normal",2.30097589089283,1.29099444873581,NA
"424",424,40,"Chi-Squared",5,3.16227766016838,5
"425",425,40,"Normal",0,1.22474487139159,NA
"426",426,40,"Normal",0,1.22474487139159,NA
"427",427,40,"Normal",0,1.22474487139159,NA
"428",428,40,"Normal",0,1.22474487139159,NA
"429",429,40,"T",0,1.22474487139159,6
"430",430,40,"Exponential",1.22474487139159,1.22474487139159,NA
"431",431,40,"Log-Normal",2.11700001661267,1.22474487139159,NA
"432",432,40,"Chi-Squared",6,3.46410161513775,6
"433",433,40,"Normal",0,1.18321595661992,NA
"434",434,40,"Normal",0,1.18321595661992,NA
"435",435,40,"Normal",0,1.18321595661992,NA
"436",436,40,"Normal",0,1.18321595661992,NA
"437",437,40,"T",0,1.18321595661992,7
"438",438,40,"Exponential",1.18321595661992,1.18321595661992,NA
"439",439,40,"Log-Normal",2.01375270747048,1.18321595661992,NA
"440",440,40,"Chi-Squared",7,3.74165738677394,7
"441",441,50,"Normal",0,1.73205080756888,NA
"442",442,50,"Normal",0,1.73205080756888,NA
"443",443,50,"Normal",0,1.73205080756888,NA
"444",444,50,"Normal",0,1.73205080756888,NA
"445",445,50,"T",0,1.73205080756888,3
"446",446,50,"Exponential",1.73205080756888,1.73205080756888,NA
"447",447,50,"Log-Normal",4.48168907033806,1.73205080756888,NA
"448",448,50,"Chi-Squared",3,2.44948974278318,3
"449",449,50,"Normal",0,1.4142135623731,NA
"450",450,50,"Normal",0,1.4142135623731,NA
